TIMESTAMP;VOLTAGE;DISP_VOL;AVG_DISP;VOL_FLOW;;;
0;-4.5;0;0;0;;AVGES;
2.236433157;4.5;200;224.106383;0.089428114;;4.5;-24.10638298
4.313121089;-4.5;-50;-25.89361702;-0.120384;;6;-292.3913043
4.345070135;4.5;-40;-15.89361702;0.3129984;;7.5;-687.2826087
4.37701918;-4.5;-45;-20.89361702;-0.1564992;;9;-1160.934783
4.50481536;4.5;-35;-10.89361702;0.0782496;;10.5;-1415.673913
4.632611541;-4.5;-40;-15.89361702;-0.0391248;;12;-1115.369565
4.856254856;4.5;-35;-10.89361702;0.022357029;;;
5.079898172;-4.5;-42;-17.89361702;-0.03129984;;;
5.399388623;4.5;-25;-0.893617021;0.053209728;;;
5.718879074;-4.5;-35;-10.89361702;-0.03129984;;;
6.134216661;4.5;-27;-2.893617021;0.01926144;;;
6.549554247;-4.5;-40;-15.89361702;-0.03129984;;;
7.060738969;4.5;-25;-0.893617021;0.0293436;;;
7.57192369;-4.5;-35;-10.89361702;-0.0195624;;;
8.178955547;4.5;-25;-0.893617021;0.0164736;;;
8.785987404;-4.5;-40;-15.89361702;-0.0247104;;;
9.488866397;4.5;-20;4.106382979;0.0284544;;;
10.19174539;-4.5;-45;-20.89361702;-0.035568;;;
10.99047152;4.5;-15;9.106382979;0.037559808;;;
11.78919764;-4.5;-45;-20.89361702;-0.037559808;;;
12.68377091;4.5;-5;19.10638298;0.044714057;;;
13.57834417;-4.5;-30;-5.893617021;-0.027946286;;;
14.56876457;4.5;0;24.10638298;0.030290168;;;
15.55918497;-4.5;-32;-7.893617021;-0.032309512;;;
16.6454525;4.5;15;39.10638298;0.043267426;;;
17.73172003;-4.5;-45;-20.89361702;-0.055235012;;;
18.9138347;4.5;40;64.10638298;0.071905038;;;
20.09594937;-4.5;-40;-15.89361702;-0.06767533;;;
21.37391118;4.5;68;92.10638298;0.084509568;;;
22.65187298;-4.5;-50;-25.89361702;-0.092334528;;;
24.02568192;4.5;80;104.106383;0.094627423;;;
25.39949086;-4.5;-55;-30.89361702;-0.09826694;;;
26.86914693;4.5;90;114.106383;0.098662539;;;
28.33880301;-4.5;-75;-50.89361702;-0.112271165;;;
29.90430622;4.5;100;124.106383;0.111785143;;;
31.46980943;-4.5;-100;-75.89361702;-0.127754449;;;
33.13115978;4.5;100;124.106383;0.120384;;;
34.79251012;-4.5;-125;-100.893617;-0.135432;;;
36.5497076;4.5;75;99.10638298;0.1138176;;;
38.30690508;-4.5;-150;-125.893617;-0.1280448;;;
40.1599497;4.5;65;89.10638298;0.116025269;;;
42.01299432;-4.5;-200;-175.893617;-0.14300789;;;
43.96188607;4.5;60;84.10638298;0.133409154;;;
45.91077782;-4.5;-240;-215.893617;-0.153933639;;;
47.95551671;4.5;45;69.10638298;0.1393821;;;
50.00025559;-6;-260;-235.893617;-0.1491633;;;
51.67758046;6;100;392.3913043;0.214627474;;;
53.35490533;-6;-340;-47.60869565;-0.262322469;;;
55.0322302;6;-335;-42.60869565;0.002980937;;;
56.70955506;-6;-338;-45.60869565;-0.001788562;;;
58.38687993;6;-325;-32.60869565;0.007750437;;;
60.0642048;-6;-335;-42.60869565;-0.005961874;;;
61.74152967;6;-315;-22.60869565;0.011923749;;;
63.41885454;-6;-325;-32.60869565;-0.005961874;;;
65.09617941;6;-305;-12.60869565;0.011923749;;;
66.77350427;-6;-320;-27.60869565;-0.008942811;;;
68.45082914;6;-300;-7.608695652;0.011923749;;;
70.12815401;-6;-315;-22.60869565;-0.008942811;;;
71.80547888;6;-298;-5.608695652;0.010135186;;;
73.48280375;-6;-305;-12.60869565;-0.004173312;;;
75.16012861;6;-275;17.39130435;0.017885623;;;
76.83745348;-6;-302;-9.608695652;-0.016097061;;;
78.51477835;6;-260;32.39130435;0.025039872;;;
80.19210322;-6;-305;-12.60869565;-0.026828434;;;
81.86942809;6;-250;42.39130435;0.032790309;;;
83.54675295;-6;-305;-12.60869565;-0.032790309;;;
85.22407782;6;-225;67.39130435;0.047694994;;;
86.90140269;-6;-315;-22.60869565;-0.053656869;;;
88.57872756;6;-210;82.39130435;0.06259968;;;
90.25605243;-6;-320;-27.60869565;-0.065580617;;;
91.9333773;6;-200;92.39130435;0.071542491;;;
93.61070216;-6;-325;-32.60869565;-0.074523429;;;
95.28802703;6;-165;127.3913043;0.095389989;;;
96.9653519;-6;-340;-47.60869565;-0.1043328;;;
98.64267677;6;-150;142.3913043;0.113275611;;;
100.3200016;-6;-350;-57.60869565;-0.119237486;;;
101.9973265;6;-150;142.3913043;0.119237486;;;
103.6746514;-6;-365;-72.60869565;-0.128180297;;;
105.3519762;6;-147;145.3913043;0.129968859;;;
107.0293011;-6;-390;-97.60869565;-0.144873545;;;
108.706626;6;-150;142.3913043;0.143084983;;;
110.3839508;-6;-420;-127.6086957;-0.160970606;;;
112.0612757;6;-150;142.3913043;0.160970606;;;
113.7386006;-6;-450;-157.6086957;-0.178856229;;;
115.4159254;6;-150;142.3913043;0.178856229;;;
117.0932503;-6;-475;-182.6086957;-0.193760914;;;
118.7705752;6;-150;142.3913043;0.193760914;;;
120.4479001;-6;-520;-227.6086957;-0.220589349;;;
122.1252249;6;-160;132.3913043;0.214627474;;;
123.8025498;-6;-580;-287.6086957;-0.25039872;;;
125.4798747;6;-200;92.39130435;0.226551223;;;
127.1571995;-7.5;-640;-347.6086957;-0.262322469;;;
128.4990594;7.5;-215;472.2826087;0.316724571;;;
129.7450722;-7.5;-710;-22.7173913;-0.3972672;;;
