TIMESTAMP;VOLTAGE;DISP_VOL;VOL_FLOW
0;-4.5;0;0
2.236433157;4.5;200;0.089428114
4.313121089;-4.5;-50;-0.120384
4.345070135;4.5;-40;0.3129984
4.37701918;-4.5;-45;-0.1564992
4.50481536;4.5;-35;0.0782496
4.632611541;-4.5;-40;-0.0391248
4.856254856;4.5;-35;0.022357029
5.079898172;-4.5;-42;-0.03129984
5.399388623;4.5;-25;0.053209728
5.718879074;-4.5;-35;-0.03129984
6.134216661;4.5;-27;0.01926144
6.549554247;-4.5;-40;-0.03129984
7.060738969;4.5;-25;0.0293436
7.57192369;-4.5;-35;-0.0195624
8.178955547;4.5;-25;0.0164736
8.785987404;-4.5;-40;-0.0247104
9.488866397;4.5;-20;0.0284544
10.19174539;-4.5;-45;-0.035568
10.99047152;4.5;-15;0.037559808
11.78919764;-4.5;-45;-0.037559808
12.68377091;4.5;-5;0.044714057
13.57834417;-4.5;-30;-0.027946286
14.56876457;4.5;0;0.030290168
15.55918497;-4.5;-32;-0.032309512
16.6454525;4.5;15;0.043267426
17.73172003;-4.5;-45;-0.055235012
18.9138347;4.5;40;0.071905038
20.09594937;-4.5;-40;-0.06767533
21.37391118;4.5;68;0.084509568
22.65187298;-4.5;-50;-0.092334528
24.02568192;4.5;80;0.094627423
25.39949086;-4.5;-55;-0.09826694
26.86914693;4.5;90;0.098662539
28.33880301;-4.5;-75;-0.112271165
29.90430622;4.5;100;0.111785143
31.46980943;-4.5;-100;-0.127754449
33.13115978;4.5;100;0.120384
34.79251012;-4.5;-125;-0.135432
36.5497076;4.5;75;0.1138176
38.30690508;-4.5;-150;-0.1280448
40.1599497;4.5;65;0.116025269
42.01299432;-4.5;-200;-0.14300789
43.96188607;4.5;60;0.133409154
45.91077782;-4.5;-240;-0.153933639
47.95551671;4.5;45;0.1393821
50.00025559;-6;-260;-0.1491633
51.67758046;6;100;0.214627474
53.35490533;-6;-340;-0.262322469
55.0322302;6;-335;0.002980937
56.70955506;-6;-338;-0.001788562
58.38687993;6;-325;0.007750437
60.0642048;-6;-335;-0.005961874
61.74152967;6;-315;0.011923749
63.41885454;-6;-325;-0.005961874
65.09617941;6;-305;0.011923749
66.77350427;-6;-320;-0.008942811
68.45082914;6;-300;0.011923749
70.12815401;-6;-315;-0.008942811
71.80547888;6;-298;0.010135186
73.48280375;-6;-305;-0.004173312
75.16012861;6;-275;0.017885623
76.83745348;-6;-302;-0.016097061
78.51477835;6;-260;0.025039872
80.19210322;-6;-305;-0.026828434
81.86942809;6;-250;0.032790309
83.54675295;-6;-305;-0.032790309
85.22407782;6;-225;0.047694994
86.90140269;-6;-315;-0.053656869
88.57872756;6;-210;0.06259968
90.25605243;-6;-320;-0.065580617
91.9333773;6;-200;0.071542491
93.61070216;-6;-325;-0.074523429
95.28802703;6;-165;0.095389989
96.9653519;-6;-340;-0.1043328
98.64267677;6;-150;0.113275611
100.3200016;-6;-350;-0.119237486
101.9973265;6;-150;0.119237486
103.6746514;-6;-365;-0.128180297
105.3519762;6;-147;0.129968859
107.0293011;-6;-390;-0.144873545
108.706626;6;-150;0.143084983
110.3839508;-6;-420;-0.160970606
112.0612757;6;-150;0.160970606
113.7386006;-6;-450;-0.178856229
115.4159254;6;-150;0.178856229
117.0932503;-6;-475;-0.193760914
118.7705752;6;-150;0.193760914
120.4479001;-6;-520;-0.220589349
122.1252249;6;-160;0.214627474
123.8025498;-6;-580;-0.25039872
125.4798747;6;-200;0.226551223
127.1571995;-7.5;-640;-0.262322469
128.4990594;7.5;-215;0.316724571
129.7450722;-7.5;-710;-0.3972672
129.7642416;7.5;-705;0.260832
129.783411;-7.5;-708;-0.1564992
129.8600887;7.5;-700;0.1043328
129.9367664;-7.5;-705;-0.065208
130.0709524;7.5;-700;0.037261714
130.2051384;-7.5;-706;-0.044714057
130.3968327;7.5;-697;0.04694976
130.588527;-7.5;-701;-0.02086656
130.8377295;7.5;-680;0.0842688
131.0869321;-7.5;-700;-0.080256
131.3936429;7.5;-665;0.114114
131.7003537;-7.5;-698;-0.1075932
132.0645729;7.5;-640;0.1592448
132.428792;-7.5;-680;-0.109824
132.8505194;7.5;-600;0.189696
133.2722468;-7.5;-690;-0.213408
133.7514824;7.5;-590;0.2086656
134.2307181;-7.5;-690;-0.2086656
134.7674621;7.5;-560;0.242201143
135.304206;-7.5;-695;-0.251516571
135.8984583;7.5;-550;0.244004129
